book,chapter,verse,verdict,note,vietnamese
JUD,1,1,FLAG,"The Vietnamese translation incorrectly adds the verb ""gửi cho"" (sent to) which is not present in the Greek text.","Giu-đa, đầy tớ của Chúa Giê-xu Christ và anh em của Gia-cơ, gửi cho những người được kêu gọi, được thánh hóa trong Đức Chúa Trời là Cha, và được giữ gìn trong Chúa Giê-xu Christ."
JUD,1,2,OK,,"Nguyền xin lòng thương xót, bình an và tình yêu thương gia tăng cho anh em!"
JUD,1,3,FLAG,"The Vietnamese translation incorrectly places the ""necessity"" (αναγκην) on the act of writing, whereas the Greek indicates that the necessity is the ""need to exhort"" (αναγκην... παρακαλων επαγωνιζεσθαι).","Hỡi những người yêu dấu, vì tôi đã hết lòng siêng năng viết cho anh em về sự cứu rỗi chung, tôi thấy cần thiết phải viết để khuyên anh em hãy hết sức tranh chiến cho đức tin đã được truyền cho các thánh một lần đủ rồi."
JUD,1,4,FLAG,"The Vietnamese translation fails to include the specific detail that they are ""rejecting"" (αρνουμενοι) both God as the only Lord and Jesus Christ as our Lord.","Vì có mấy người kia lẻn vào, là những kẻ từ xưa đã bị ghi trước cho sự phán xét này, là kẻ không tin kính, đổi ân điển của Đức Chúa Trời chúng ta ra sự buông tuồng, và chối bỏ Chủ và Đức Chúa Trời có một của chúng ta, là Chúa Giê-xu Đấng Christ."
JUD,1,5,FLAG,"The Vietnamese translation adds ""những kẻ"" (those who) to refer to the people, whereas the Greek implies the loss of the people themselves as a whole.","Tôi muốn nhắc cho anh em, là người đã biết điều này một lần rồi, rằng Chúa đã cứu dân ra khỏi đất Ê-díp-tô, nhưng lần thứ hai thì tiêu diệt những kẻ không tin."
JUD,1,6,FLAG,"The Vietnamese translation incorrectly changes the subject of the final clause to ""He"" (Ngài) instead of keeping it as the angels who are being kept in chains.","Các thiên sứ không giữ sự ban đầu của mình, nhưng bỏ nhà ở riêng của mình, thì Ngài đã dùng dây xích đời đời cầm giữ trong nơi tối tăm để chờ sự phán xét của ngày lớn."
JUD,1,7,OK,,"Cũng như Sô-đôm và Gô-mô-rơ cùng các thành chung quanh chúng, đã buông mình theo sự dâm dục và đi theo xác thịt khác, thì đã bị đặt ra làm gương, chịu hình phạt bằng lửa đời đời."
JUD,1,8,FLAG,"The Vietnamese translates ""δε αθετουσιν δοξας"" as ""phạm thượng đến vinh hiển"" (blaspheme the glory) instead of ""không làm tổn hại đến vinh hiển"" (do not harm/damage the glory).","Cũng vậy, những kẻ này mơ màng làm ô uế xác thịt, khước từ quyền cai trị, và phạm thượng đến vinh hiển."
JUD,1,9,FLAG,"The Vietnamese translation incorrectly attributes the action of not daring to bring a blasphemous judgment to Moses, whereas the Greek indicates that Michael was the one who did not dare to do so.","Nhưng khi thiên sứ trưởng Mi-chen tranh luận với ma quỷ về thân thể của Môi-se, người không dám đưa ra sự phán xét phạm thượng, nhưng nói: ""Cầu Chúa quở trách ngươi!"""
JUD,1,10,OK,,"Những kẻ nầy hễ điều gì không biết thì phạm thượng; còn điều gì tự nhiên chúng biết như loài sinh vật vô tri, thì chúng bị hư mất trong những điều đó."
JUD,1,11,OK,,"Khốn cho chúng nó, vì đã đi theo đường của Ca-in, và đổ mình ra theo sự lầm lạc của Ba-la-am vì tiền công, và bị hư mất trong sự chống trả của Cô-rê."
JUD,1,12,FLAG,"The Vietnamese translates ""σπιλαδες"" as ""vết nhơ"" (stains/blemishes), but the Greek refers to ""spiles"" or ""scabs"" (crusts/sores) on a body.","Những kẻ ấy là vết nhơ trong bữa tiệc yêu thương của anh em, họ dự tiệc cùng nhau cách vô sợ, chỉ nuôi chính mình; như mây không nước bị gió cuốn đi, như cây mùa thu không trái, hai lần chết, bị nhổ rễ."
JUD,1,13,FLAG,"The Vietnamese translation incorrectly interprets ""τας εαυτων αισχυνας"" as ""xấu hổ của chúng"" (their shame) instead of ""nhục nhã của chính mình"" (their own shame/disgrace).","Sóng dữ của biển sôi bọt xấu hổ của chúng; những ngôi sao đi lang thang, sự tối tăm của bóng tối đã được giữ cho chúng đời đời."
JUD,1,14,FLAG,"The Vietnamese translation incorrectly states that Enoch prophesied ""about them"" (về họ), whereas the Greek text does not specify a target audience for the prophecy.","Hê-nóc, là người thứ bảy từ A-đam, cũng đã nói tiên tri về họ rằng: Kìa, Chúa đến với muôn vàn thánh của Ngài."
JUD,1,15,FLAG,"The Vietnamese omits the phrase ""κατ αυτου"" (against Him) which specifies that the harsh words were spoken against Him.","để thi hành sự phán xét trên hết thảy mọi người, và để kết tội mọi kẻ vô đạo về mọi công việc vô đạo của họ mà họ đã phạm, và về mọi lời cứng cỏi mà những kẻ có tội vô đạo đã nói nghịch cùng Ngài."
