source_file,duplicate_of_other_batch,book,chapter,verse,expected_name,status,exact_present,casefold_present,loose_present,target_file,target_text
deuteronomy_full_name_flags.csv,no,DEU,2,21,Am-môn,still_missing_or_source_policy,no,no,no,staging/ot_torah/GOI_Bible_vi/005_DEU_002_021_GOI_vi.txt,"Dân đó là một dân lớn, mạnh và cao lớn như dân A-na-kim; nhưng Đức Giê-hô-va đã tiêu diệt chúng khỏi trước mặt chúng, và chúng chiếm lấy đất ấy rồi ở đó thay thế chúng."
deuteronomy_full_name_flags.csv,no,DEU,2,21,Rê-pha-im,still_missing_or_source_policy,no,no,no,staging/ot_torah/GOI_Bible_vi/005_DEU_002_021_GOI_vi.txt,"Dân đó là một dân lớn, mạnh và cao lớn như dân A-na-kim; nhưng Đức Giê-hô-va đã tiêu diệt chúng khỏi trước mặt chúng, và chúng chiếm lấy đất ấy rồi ở đó thay thế chúng."
deuteronomy_full_name_flags.csv,no,DEU,4,15,Đức Chúa Trời,still_missing_or_source_policy,no,no,no,staging/ot_torah/GOI_Bible_vi/005_DEU_004_015_GOI_vi.txt,"Vậy, các ngươi hãy giữ gìn rất cẩn thận lấy mạng sống mình, vì các ngươi không thấy hình dạng nào hết trong ngày Đức Giê-hô-va phán cùng các ngươi tại Hô-rếp từ giữa ngọn lửa."
deuteronomy_full_name_flags.csv,no,DEU,9,4,Đức Chúa Trời,still_missing_or_source_policy,no,no,no,staging/ot_torah/GOI_Bible_vi/005_DEU_009_004_GOI_vi.txt,Chớ nói trong lòng ngươi rằng: Vì cớ sự công bình của ta mà Đức Giê-hô-va đã dẫn ta vào để chiếm lấy đất nầy; nhưng chính vì sự gian ác của các dân tộc đó mà Đức Giê-hô-va đuổi chúng nó ra khỏi trước mặt ngươi.
deuteronomy_full_name_flags.csv,no,DEU,10,7,Y-sơ-ra-ên,still_missing_or_source_policy,no,no,no,staging/ot_torah/GOI_Bible_vi/005_DEU_010_007_GOI_vi.txt,"Từ đó, họ đi đến Gút-gô-đa, rồi từ Gút-gô-đa đến Dốt-ba-tha, là đất có các suối nước."
deuteronomy_full_name_flags.csv,no,DEU,13,17,Đức Chúa Trời,still_missing_or_source_policy,no,no,no,staging/ot_torah/GOI_Bible_vi/005_DEU_013_017_GOI_vi.txt,"Chớ để điều gì đáng bị tiêu diệt dính lại trong tay ngươi, hầu cho Đức Giê-hô-va sẽ nguôi cơn thạnh nộ, và sẽ thương xót ngươi, thương yêu ngươi, và làm cho ngươi sinh sôi nảy nở, như Ngài đã thề cùng tổ phụ ngươi."
deuteronomy_full_name_flags.csv,no,DEU,24,9,Đức Chúa Trời,still_missing_or_source_policy,no,no,no,staging/ot_torah/GOI_Bible_vi/005_DEU_024_009_GOI_vi.txt,Hãy nhớ điều Đức Giê-hô-va đã làm cho Mi-ri-am dọc đường khi các ngươi ra khỏi Ai Cập.
deuteronomy_full_name_flags.csv,no,DEU,28,14,Đức Giê-hô-va,still_missing_or_source_policy,no,no,no,staging/ot_torah/GOI_Bible_vi/005_DEU_028_014_GOI_vi.txt,"và ngươi sẽ không đi lạc khỏi mọi điều phán mà ta truyền cho các ngươi ngày nay, không chếch sang bên phải hay bên trái, để đi theo và phục sự các thần khác"
deuteronomy_full_name_flags.csv,no,DEU,32,43,Đức Chúa Trời,still_missing_or_source_policy,no,no,no,staging/ot_torah/GOI_Bible_vi/005_DEU_032_043_GOI_vi.txt,"Hỡi các nước, hãy reo vui cùng dân Ngài, vì Đức Giê-hô-va sẽ báo thù huyết của tôi tớ Ngài, và báo sự báo thù cho kẻ thù nghịch Ngài, và sẽ làm cho đất Ngài được xá tội cho dân Ngài."
deuteronomy_full_name_flags.csv,no,DEU,33,9,Lê-vi,still_missing_or_source_policy,no,no,no,staging/ot_torah/GOI_Bible_vi/005_DEU_033_009_GOI_vi.txt,"Người nói cùng cha mình: Ta chẳng thấy cha; cùng mẹ mình: Ta không biết mẹ; chẳng nhận anh em mình, chẳng biết con cái mình; vì họ giữ lời Đức Giê-hô-va, và gìn giữ giao ước Ngài."
