book,chapter,verse,issues
GEN,4,2,"name_swap: The Hebrew says she bore 'his brother, Abel' (אֶת אָחִיו אֶת הָ֑בֶל), i.e., Abel is Cain's brother. The Chinese renders '她的弟兄' (her brother), changing the relationship from Cain's brother to her brother, which misidentifies who Abel is."
GEN,4,4,"name_swap: The Hebrew name הֶבֶל is 'Abel' (亞伯), but the Chinese renders it as 虛空 ('vanity/emptiness'), which is a different word and changes the proper name."
GEN,4,8,name_swap: The proper name הֶבֶל (Abel) is rendered as '虛空' (emptiness/vanity) instead of a transliteration of the name Abel (亞伯). This changes the proper name and would mislead a Chinese reader into thinking the brother is called 'Vanity'.
GEN,4,9,"mistranslation: The Hebrew 'הֶבֶל' is the proper name 'Abel' (該隱's brother), but the Chinese renders it as '虛空' (vanity/emptiness), which is a different word and changes the meaning. The name 'Abel' should be transliterated as '亞伯' or similar."
GEN,5,32,"name_swap: The Hebrew text says Noah was 500 years old (בֶּן חֲמֵשׁ מֵאוֹת שָׁנָה), but the Chinese says '挪亞五百年的時候' which could be read as 'at the time of Noah's five hundredth year' — this is acceptable. However, the name 'שֵׁם' (Shem) is rendered as '名' (name) instead of the proper name '閃' (Shem). This is a name swap/error."
GEN,7,7,"mistranslation: The Hebrew phrase מִפְּנֵי מֵי הַמַּבּוּל means 'because of the waters of the flood' (i.e., to escape the floodwaters), but the Chinese renders it as '當作面對大洪水的水' ('as if facing the waters of the great flood'), which misrepresents the causal/prepositional sense and adds '當作' (as if) not in the Hebrew."
GEN,10,2,"name_swap: The Hebrew lists 'מֶשֶׁךְ' (Meshech), but the Chinese renders it as '瑪士撒克' (Methuselah), which is a different name. The correct rendering should be '米設' or similar for Meshech."
GEN,10,3,"name_swap: The Hebrew name אַשְׁכֲּנַז (Ashkenaz) is rendered as '亞斯納撒' (Yasnasa), which is not the standard transliteration and appears to be a different name. The correct Chinese transliteration should be '亞實基拿' or similar."
GEN,10,6,"name_swap: The Hebrew lists the sons of Ham as personal names: Cush (כּוּשׁ), Mizraim (מִצְרַיִם), Put (פּוּט), and Canaan (כְּנָעַן). The Chinese renders 'Cush' as '古實人' (Cushites) and 'Canaan' as '迦南人' (Canaanites), adding the suffix '人' (people), which changes the proper names into ethnic groups. This is a substantive alteration of the names as given in the Hebrew."
GEN,10,14,"mistranslation: The Hebrew lists four groups: Pathrusim, Casluhim (from whom Philistines came out), and Caphtorim. The Chinese renders 'וְאֶת כַּפְתֹּרִֽים' as '迦帕他' (Caphtor, a place) instead of '迦帕托利人' (Caphtorim, the people), changing a people group to a place name."
GEN,10,17,"name_swap: The Hebrew lists the Hivites (הַחִוִּי), the Arkites (הָעַרְקִי), and the Sinites (הַסִּינִי). The Chinese renders the second as '以革倫人' (Ekronites), which is a different people group (Ekronites, from Ekron), not the Arkites. The correct rendering should be '亞基人' or similar for Arkites."
GEN,10,22,"name_swap: The Hebrew has אַרְפַּכְשַׁד (Arpachshad), but the Chinese renders it as 以法朔達, which appears to be a different name (possibly a transliteration of a different Hebrew name). The correct Chinese transliteration for Arpachshad should be 亞法撒 or similar."
GEN,10,24,"name_swap: The Hebrew name אַרְפַּכְשַׁד (Arpachshad) is rendered as 以法朔達, which is an incorrect transliteration; the standard Chinese rendering is 亞法撒 or 亞法撒德. The name is not simply a stylistic choice but a different name form."
GEN,10,31,"name_swap: The Hebrew 'בְנֵי שֵׁם' means 'sons of Shem' (閃的兒子), but the Chinese renders '名的兒子' ('sons of the name'), dropping the proper name Shem and substituting a common noun."
