ref_start,ref_end,policy,bracket,translation_action,note
ROM 12:11,ROM 12:11,critical_override,,use_preferred_reading,"Use serving the Lord; no brackets. Preferred reading is Lord, not TR1550 time."
MRK 16:9,MRK 16:20,supplemental_traditional,{},retain_with_brackets,"Longer ending of Mark. Retain as traditional supplemental material."
JHN 7:53,JHN 8:11,supplemental_traditional,{},retain_with_brackets,"Pericope adulterae. Retain as traditional supplemental material."
1JN 5:7,1JN 5:8,supplemental_phrase,{},shorter_main_text,"Use shorter early text in main translation. Heavenly-witness phrase may be shown only as supplemental tradition."
ACT 8:37,ACT 8:37,supplemental_traditional,{},retain_with_brackets,"Ethiopian confession. Retain as traditional supplemental verse."
JHN 5:3,JHN 5:3,supplemental_phrase,{},retain_phrase_with_brackets,"Only the phrase about waiting for water movement is supplemental."
JHN 5:4,JHN 5:4,supplemental_traditional,{},retain_with_brackets,"Angel stirring the pool. Retain as traditional supplemental verse."
MAT 6:13,MAT 6:13,supplemental_phrase,{},retain_phrase_with_brackets,"Lord's Prayer doxology is supplemental traditional/liturgical material."
LUK 22:43,LUK 22:44,conflicted_ancient,[],retain_with_brackets,"Angel and bloody sweat. Ancient evidence is divided."
LUK 23:34,LUK 23:34,conflicted_ancient,[],retain_phrase_with_brackets,"Father forgive them clause is ancient but conflicted."
1TI 3:16,1TI 3:16,critical_override,,use_preferred_reading,"Use He who was revealed in flesh, not God was revealed in flesh."
GAL 3:1,GAL 3:1,critical_override,,use_preferred_reading,"Use shorter critical text; omit TR/KJV phrase about not obeying the truth."
REV 1:11,REV 1:11,critical_override,,use_preferred_reading,"Use shorter critical text; omit TR/KJV Alpha and Omega phrase in this verse."
ACT 20:28,ACT 20:28,needs_review,,retain_current,"Keep church of God for now; deeper apparatus check remains open."
