book,chapter,verse,issues
GEN,4,3,"addition: The Hebrew says Cain brought an offering (minchah) from the fruit of the ground, but does not specify 'firstfruits' (đầu mùa). The Vietnamese adds 'đầu mùa' (firstfruits), which is not present in the Hebrew text."
GEN,4,18,"name_swap: The Hebrew has 'Mehuyael' (מְחֽוּיָאֵל) as the son of Irad, but the Vietnamese renders it as 'Nê-hu-đa-ên', which is a different name (likely a confusion with another name). The correct transliteration should be 'Mê-hu-gia-ên' or similar."
GEN,5,6,"omission: The Hebrew says Seth lived 105 years (חָמֵשׁ שָׁנִים וּמְאַת שָׁנָה = five years and a hundred years), but the Vietnamese says 'một trăm năm' (one hundred years), omitting the 'five' (חָמֵשׁ)."
GEN,5,11,"omission: The Hebrew states Enosh's total days were 905 years (five years and nine hundred years), but the Vietnamese omits the 'five years' and says only 'chín trăm lẻ năm' (905 years), which is a different number."
GEN,5,25,"mistranslation: Hebrew says 'bảy và tám mươi năm và một trăm năm' (187 years), but Vietnamese says 'một trăm tám mươi bảy năm' (187 years) — actually this is correct. Wait, Hebrew: 'sheva ushmonim shanah ume'at shanah' = 7 + 80 + 100 = 187. Vietnamese: 'một trăm tám mươi bảy năm' = 187. This is correct. No issue."
GEN,5,31,"mistranslation: The Hebrew says Lamech's total years were 777 (seven and seventy years and seven hundred years), but the Vietnamese says 'bảy trăm bảy mươi bảy năm' (777 years), which is correct in total, but the Hebrew explicitly breaks it as 'seven and seventy years and seven hundred years' (77 + 700). The Vietnamese rendering 'bảy trăm bảy mươi bảy' is a standard way to say 777, so it is not a factual error. However, the Hebrew phrase 'שֶׁבַע וְשִׁבְעִים שָׁנָה וּשְׁבַע מֵאוֹת שָׁנָה' literally means 'seven and seventy years and seven hundred years' (i.e., 77 + 700 = 777). The Vietnamese 'bảy trăm bảy mươi bảy năm' is a correct total of 777, so no factual difference. The issue is that the Hebrew explicitly states the components, but the Vietnamese combines them; this is not a substantive omission since the total is identical. Therefore, this should be OK."
GEN,7,3,"mistranslation: The Hebrew 'זָכָר וּנְקֵבָה' means 'male and female' (singular collective), but the Vietnamese renders it as 'bảy con cái và bảy con đực' (seven females and seven males), reversing the order and implying seven of each sex per species, whereas the Hebrew means seven pairs (male and female) per species. The order of 'cái' (female) before 'đực' (male) also reverses the Hebrew order."
GEN,8,13,"mistranslation: The Hebrew says 'in the six hundred and first year' (בְּאַחַת וְשֵׁשׁ מֵאוֹת שָׁנָה), but the Vietnamese says 'Năm trăm sáu mốt tuổi đời của Nô-ê' (five hundred sixty-one years of Noah's life), which changes the number from 601 to 561 and adds 'tuổi đời của Nô-ê' (age of Noah) not in the Hebrew."
GEN,10,7,"name_swap: The Hebrew lists the sons of Cush as Seba, Havilah, Sabtah, Raamah, and Sabteca. The Vietnamese renders 'Sê-ba' for Seba, 'Ha-vi-la' for Havilah, 'Sáp-ta' for Sabtah, 'Ra-ê-ma' for Raamah, and 'Sáp-tê-ca' for Sabteca — all correct. However, the second list, sons of Raamah, is given in Hebrew as Sheba and Dedan. The Vietnamese says 'Sê-la và Đê-đan' — 'Sê-la' is not Sheba (which should be 'Sê-ba' or similar), it is a different name (likely Shelah). This is a name swap: Sheba is replaced with Sê-la."
GEN,10,11,"mistranslation: The Hebrew says 'Asshur went out from that land' (i.e., Asshur departed from that land), but the Vietnamese says 'người đến xứ A-si-ri' (he came to the land of Assyria), reversing the direction of movement. The Hebrew has Asshur as the subject leaving the land, not arriving in Assyria."
