book,chapter,verse,stem,severity,categories,note,goi_vi,vie1934,wlc
GEN,5,1,001_GEN_005_001,green,clean,green:clean: No lint findings.,"Đây là sách gia phổ của A-đam. Ngày Đức Chúa Trời tạo nên A-đam, Ngài làm nên người theo hình dạng Đức Chúa Trời.","Đây là sách chép dòng dõi của A-đam. Ngày mà Đức Chúa Trời dựng nên loài người, thì Ngài làm nên loài người giống như Đức Chúa Trời;",זֶ֣ה סֵ֔פֶר תּוֹלְדֹ֖ת אָדָ֑ם בְּי֗וֹם בְּרֹ֤א אֱלֹהִים֙ אָדָ֔ם בִּדְמ֥וּת אֱלֹהִ֖ים עָשָׂ֥ה אֹתֽוֹ
GEN,5,2,001_GEN_005_002,green,clean,green:clean: No lint findings.,"Ngài tạo nên người nam và người nữ, ban phước cho họ, và trong ngày Ngài tạo nên họ, Ngài đặt tên họ là A-đam.","Ngài dựng nên người nam cùng người nữ, ban phước cho họ, và trong ngày đã dựng nên, đặt tên là người.",זָכָ֥ר וּנְקֵבָ֖ה בְּרָאָ֑ם וַיְבָ֣רֶךְ אֹתָ֗ם וַיִּקְרָ֤א אֶת שְׁמָם֙ אָדָ֔ם בְּי֖וֹם הִבָּֽרְאָֽם
GEN,5,3,001_GEN_005_003,green,clean,green:clean: No lint findings.,"A-đam sống được một trăm ba mươi năm, rồi sinh một con trai giống như mình, theo hình tượng mình, và đặt tên con là Sết.","Vả, A-đam được một trăm ba mươi tuổi, sanh một con trai giống như hình tượng mình, đặt tên là Sết.",וַֽיְחִ֣י אָדָ֗ם שְׁלֹשִׁ֤ים וּמְאַת֙ שָׁנָ֔ה וַיּ֥וֹלֶד בִּדְמוּת֖וֹ כְּצַלְמ֑וֹ וַיִּקְרָ֥א אֶת שְׁמ֖וֹ שֵֽׁת
GEN,5,4,001_GEN_005_004,green,clean,green:clean: No lint findings.,"Sau khi A-đam sinh Sết, người còn sống tám trăm năm và sinh các con trai và các con gái.","Sau khi A-đam sanh Sết rồi, còn sống được tám trăm năm, sanh con trai con gái.",וַיִּֽהְי֣וּ יְמֵי אָדָ֗ם אַֽחֲרֵי֙ הוֹלִיד֣וֹ אֶת שֵׁ֔ת שְׁמֹנֶ֥ה מֵאֹ֖ת שָׁנָ֑ה וַיּ֥וֹלֶד בָּנִ֖ים וּבָנֽוֹת
GEN,5,5,001_GEN_005_005,green,clean,green:clean: No lint findings.,"A-đam sống chín trăm ba mươi năm, rồi qua đời.","Vậy, A-đam hưởng thọ được chín trăm ba mươi tuổi, rồi qua đời.",וַיִּֽהְי֞וּ כָּל יְמֵ֤י אָדָם֙ אֲשֶׁר חַ֔י תְּשַׁ֤ע מֵאוֹת֙ שָׁנָ֔ה וּשְׁלֹשִׁ֖ים שָׁנָ֑ה וַיָּמֹֽת
GEN,5,6,001_GEN_005_006,green,clean,green:clean: No lint findings.,"Sết sống được một trăm năm, rồi sinh ra Ê-nót.","Sết được một trăm năm tuổi, sanh Ê-nót.",וַֽיְחִי שֵׁ֕ת חָמֵ֥שׁ שָׁנִ֖ים וּמְאַ֣ת שָׁנָ֑ה וַיּ֖וֹלֶד אֶת אֱנֽוֹשׁ
GEN,5,7,001_GEN_005_007,green,clean,green:clean: No lint findings.,"Sau khi Sết sinh Ê-nót, người còn sống tám trăm bảy năm, rồi sinh các con trai và các con gái.","Sau khi Sết sanh Ê-nót rồi, còn sống được tám trăm bảy năm, sanh con trai con gái.",וַֽיְחִי שֵׁ֗ת אַֽחֲרֵי֙ הוֹלִיד֣וֹ אֶת אֱנ֔וֹשׁ שֶׁ֣בַע שָׁנִ֔ים וּשְׁמֹנֶ֥ה מֵא֖וֹת שָׁנָ֑ה וַיּ֥וֹלֶד בָּנִ֖ים וּבָנֽוֹת
GEN,5,8,001_GEN_005_008,green,clean,green:clean: No lint findings.,"Sết sống được chín trăm mười hai năm, rồi qua đời.","Vậy, Sết hưởng thọ được chín trăm mười hai tuổi, rồi qua đời.",וַיִּֽהְיוּ֙ כָּל יְמֵי שֵׁ֔ת שְׁתֵּ֤ים עֶשְׂרֵה֙ שָׁנָ֔ה וּתְשַׁ֥ע מֵא֖וֹת שָׁנָ֑ה וַיָּמֹֽת
GEN,5,9,001_GEN_005_009,green,clean,green:clean: No lint findings.,"Ê-nót sống chín mươi năm, rồi sinh ra Kê-nan.","Ê-nót được chín mươi tuổi, sanh Kê-nan.",וַֽיְחִ֥י אֱנ֖וֹשׁ תִּשְׁעִ֣ים שָׁנָ֑ה וַיּ֖וֹלֶד אֶת קֵינָֽן
GEN,5,10,001_GEN_005_010,green,clean,green:clean: No lint findings.,"Ê-nót sống tám trăm mười lăm năm sau khi sinh Kê-nan, và sinh các con trai và các con gái.","Sau khi Ê-nót sanh Kê-nan rồi, còn sống được tám trăm mười lăm năm, sanh con trai con gái.",וַֽיְחִ֣י אֱנ֗וֹשׁ אַֽחֲרֵי֙ הוֹלִיד֣וֹ אֶת קֵינָ֔ן חֲמֵ֤שׁ עֶשְׂרֵה֙ שָׁנָ֔ה וּשְׁמֹנֶ֥ה מֵא֖וֹת שָׁנָ֑ה וַיּ֥וֹלֶד בָּנִ֖ים וּבָנֽוֹת
DEU,10,6,005_DEU_010_006,green,clean,green:clean: No lint findings.,"Dân Y-sơ-ra-ên đi từ Bê-rốt Bê-nê-Gia-can đến Mô-sê-ra; tại đó A-rôn qua đời và được chôn, và Ê-lê-a-sa, con trai người, làm thầy tế lễ thế cho người.","Vả, dân Y-sơ-ra-ên đi từ Bê-rốt Bê-nê-Gia-can đến Mô-sê-ra. A-rôn qua đời và được chôn tại đó; Ê-lê-a-sa, con trai người, làm chức tế lễ thế cho người.",וּבְנֵ֣י יִשְׂרָאֵ֗ל נָֽסְע֛וּ מִבְּאֵרֹ֥ת בְּנֵי יַעֲקָ֖ן מוֹסֵרָ֑ה שָׁ֣ם מֵ֤ת אַהֲרֹן֙ וַיִּקָּבֵ֣ר שָׁ֔ם וַיְכַהֵ֛ן אֶלְעָזָ֥ר בְּנ֖וֹ תַּחְתָּֽיו
DEU,10,7,005_DEU_010_007,green,clean,green:clean: No lint findings.,"Từ đó họ khởi hành đến Gút-gô-đa, rồi từ Gút-gô-đa đến Dốt-ba-tha, là đất có các suối nước.","Từ đó, dân Y-sơ-ra-ên đi đến Gút-gô-đa, rồi từ Gút-gô-đa đến Dốt-ba-tha, là xứ có nhiều sông rạch.",מִשָּׁ֥ם נָסְע֖וּ הַגֻּדְגֹּ֑דָה וּמִן הַגֻּדְגֹּ֣דָה יָטְבָ֔תָה אֶ֖רֶץ נַ֥חֲלֵי מָֽיִם
DEU,10,8,005_DEU_010_008,green,clean,green:clean: No lint findings.,"Trong lúc ấy, Đức Giê-hô-va biệt riêng chi phái Lê-vi ra để khiêng hòm giao ước của Đức Giê-hô-va, đứng trước mặt Đức Giê-hô-va mà phục vụ Ngài và nhân danh Ngài mà ban phước, cho đến ngày nay.","Trong lúc ấy, Đức Giê-hô-va biệt chi phái Lê-vi riêng ra, đặng khiêng hòm giao ước của Đức Giê-hô-va, chầu chực trước mặt Đức Giê-hô-va, phục sự Ngài, và nhân danh Ngài chức phước, cho đến ngày nay.",בָּעֵ֣ת הַהִ֗וא הִבְדִּ֤יל יְהוָה֙ אֶת שֵׁ֣בֶט הַלֵּוִ֔י לָשֵׂ֖את אֶת אֲר֣וֹן בְּרִית יְהוָ֑ה לַעֲמֹד֩ לִפְנֵ֨י יְהוָ֤ה לְשָֽׁרְתוֹ֙ וּלְבָרֵ֣ךְ בִּשְׁמ֔וֹ עַ֖ד הַיּ֥וֹם הַזֶּֽה
