category,policy,ref,book_num,book,chapter,verse,path,old,new
ot_english_name_cleanup_review_before_chinese,,GEN 2:8,001,GEN,2,8,GOI_Bible_English/001_GEN_002_008_GOI_En.txt,"And Jehovah God planted a garden in the east, and there he placed the man whom he had formed.","And Jehovah God planted a garden in Eden, in the east, and there he placed the man whom he had formed."
ot_english_name_cleanup_review_before_chinese,,EXO 5:10,002,EXO,5,10,GOI_Bible_English/002_EXO_005_010_GOI_En.txt,"The task requires translating the Hebrew verse into English while strictly following the provided noun anchors and rules. Let's proceed step by step. **Hebrew verse:** וַיֵּ֨צְא֜וּ נֹגְשֵׂ֤י הָעָם֙ וְשֹׁ֣טְרָ֔יו וַיֹּאמְר֥וּ אֶל־ הָעָ֖ם לֵאמֹ֑ר כֹּ֚ה אָמַ֣ר פַּרְעֹ֔ה אֵינֶ֛נִּי נֹתֵ֥ן לָכֶ֖ם תֶּֽבֶן׃ **Step 1: Identify the structure and components.** - וַיֵּצְאוּ – ""And they went out"" (third person masculine plural, past tense) - נֹגְשֵׂי – ""taskmasters"" (plural of נֹגֵשׂ), but not in the noun anchors. However, it's a noun derived from a root meaning ""to oppress"" or ""to drive"", so contextually ""taskmasters"" is appropriate. - הָעָם – ""the people"" (with article), and the noun anchor is ""folk, men, nation, people"". We must use one of these consistently. Since ""people"" is a common rendering in biblical context, we'll use ""people"". - וְשֹׁטְרָיו – ""and his officers"" (שֹׁטֵר, plural שֹׁטְרִים, meaning ""officers"" or ""foremen""). Not in the anchors, but contextually clear. - וַיֹּאמְרוּ – ""and they said"" - אֶל־הָעָם – ""to the people"" - לֵאמֹר – ""to say"" - כֹּה אָמַר –","The taskmasters of the people and their officers went out and spoke to the people, saying, ""Thus says Pharaoh: I will not give you straw."""
ot_english_name_cleanup_review_before_chinese,,NUM 1:22,004,NUM,1,22,GOI_Bible_English/004_NUM_001_022_GOI_En.txt,"According to their generations, by their families, by the house of their fathers, their number according to names by their heads, every male from twenty years old and upward, all who go out to the army.","Of the children of Simeon, according to their generations, by their families, by the house of their fathers, their number according to names by their heads, every male from twenty years old and upward, all who go out to the army."
ot_english_name_cleanup_review_before_chinese,,NUM 21:20,004,NUM,21,20,GOI_Bible_English/004_NUM_021_020_GOI_En.txt,"And from the high places of the valley in the field of Moab, the top of Pisgah, she looked toward the face of the desert.","And from Bamoth to the valley in the field of Moab, to the top of Pisgah, which looks toward the face of the desert."
ot_english_name_cleanup_review_before_chinese,,DEU 2:29,005,DEU,2,29,GOI_Bible_English/005_DEU_002_029_GOI_En.txt,"As the Edomites who live in Seir and the Moabites who live in Ar have done to me, until I cross the Jordan to the land that the LORD our God gives us.","As the children of Esau who live in Seir and the Moabites who live in Ar have done to me, until I cross the Jordan to the land that the LORD our God gives us."
ot_english_name_cleanup_review_before_chinese,,JOS 3:16,006,JOS,3,16,GOI_Bible_English/006_JOS_003_016_GOI_En.txt,"The waters flowing downstream piled up in a single heap far from the city of Zarthan, while the waters flowing down to the Arabah, the Salt Sea, were completely cut off, and the people crossed opposite Jericho.","The waters flowing downstream piled up in a single heap far away at Adam, the city beside Zarthan, while the waters flowing down to the Arabah, the Salt Sea, were completely cut off, and the people crossed opposite Jericho."
ot_english_name_cleanup_review_before_chinese,,JOS 8:16,006,JOS,8,16,GOI_Bible_English/006_JOS_008_016_GOI_En.txt,"And all the people who were in the city were called together to pursue them, and they pursued after Joshua, and were drawn away from the city.","And all the people who were in Ai were called together to pursue them, and they pursued after Joshua, and were drawn away from the city."
ot_english_name_cleanup_review_before_chinese,,JOS 13:22,006,JOS,13,22,GOI_Bible_English/006_JOS_013_022_GOI_En.txt,"And Balaam the son of Beor, the diviner, they struck down with the sword among their slain.","And the children of Israel struck down Balaam the son of Beor, the diviner, with the sword among their slain."
ot_english_name_cleanup_review_before_chinese,,JOS 15:7,006,JOS,15,7,GOI_Bible_English/006_JOS_015_007_GOI_En.txt,"The border went up from the valley of Achor northward to Gilgal, which is opposite the ascent of Adummim south of the river; and the border passed on to the waters of Enshemesh, and its outgoings were at En-rogel.","The border went up to Debir from the valley of Achor northward to Gilgal, which is opposite the ascent of Adummim south of the river; and the border passed on to the waters of Enshemesh, and its outgoings were at En-rogel."
ot_english_name_cleanup_review_before_chinese,,JOS 17:11,006,JOS,17,11,GOI_Bible_English/006_JOS_017_011_GOI_En.txt,"Manasseh had Beth-shean and its towns, and Ibleam and its towns, and the inhabitants of Dor and its towns, and the inhabitants of En-dor and its towns, and the inhabitants of Taanach and its towns, and the inhabitants of Megiddo and its towns, three countries.","Manasseh had in Issachar and in Asher Beth-shean and its towns, and Ibleam and its towns, and the inhabitants of Dor and its towns, and the inhabitants of En-dor and its towns, and the inhabitants of Taanach and its towns, and the inhabitants of Megiddo and its towns, three countries."
ot_english_name_cleanup_review_before_chinese,,JDG 19:14,007,JDG,19,14,GOI_Bible_English/007_JDG_019_014_GOI_En.txt,"And they passed over and went on, and the sun came upon them at the hill which belonged to Benjamin.","And they passed over and went on, and the sun came upon them near Gibeah, which belonged to Benjamin."
ot_english_name_cleanup_review_before_chinese,,JDG 20:19,007,JDG,20,19,GOI_Bible_English/007_JDG_020_019_GOI_En.txt,The sons of Israel rose early in the morning and camped against the hill.,The sons of Israel rose early in the morning and camped against Gibeah.
ot_english_name_cleanup_review_before_chinese,,1SA 14:2,009,1SA,14,2,GOI_Bible_English/009_1SA_014_002_GOI_En.txt,"And Saul was sitting at the edge of the hill in Migron under the pomegran�t, and the people who were with him were about six hundred men.","And Saul was sitting at the edge of Gibeah in Migron under the pomegranate tree, and the people who were with him were about six hundred men."
ot_english_name_cleanup_review_before_chinese,,1SA 19:22,009,1SA,19,22,GOI_Bible_English/009_1SA_019_022_GOI_En.txt,"He went also to Ramah and came to the great well that is in Sechu and inquired and said, Where are Samuel and David? And one said, Behold, they are at Ramah.","He went also to Ramah and came to the great well that is in Sechu and inquired and said, Where are Samuel and David? And one said, Behold, they are at Naioth in Ramah."
ot_english_name_cleanup_review_before_chinese,,2SA 2:13,010,2SA,2,13,GOI_Bible_English/010_2SA_002_013_GOI_En.txt,"Joab and the servants of David came out, and they met them by the pool of Gibeon; these sat down by the pool on this side, and those by the pool on that side.","Joab son of Zeruiah and the servants of David came out, and they met them by the pool of Gibeon; these sat down by the pool on this side, and those by the pool on that side."
ot_english_name_cleanup_review_before_chinese,,2SA 3:3,010,2SA,3,3,GOI_Bible_English/010_2SA_003_003_GOI_En.txt,"and his second was Abigail the Carmelite, wife of Nabal; and the third was Absalom son of Maachah, daughter of Talmai king of Geshur.","and his second was Chileab, of Abigail the Carmelite, wife of Nabal; and the third was Absalom son of Maachah, daughter of Talmai king of Geshur."
ot_english_name_cleanup_review_before_chinese,,2SA 8:3,010,2SA,8,3,GOI_Bible_English/010_2SA_008_003_GOI_En.txt,"David struck Hadadezer son of Rehob, king of Zoba, when he went to restore his power by the river.","David struck Hadadezer son of Rehob, king of Zoba, when he went to restore his power by the river Euphrates."
ot_english_name_cleanup_review_before_chinese,,2SA 14:1,010,2SA,14,1,GOI_Bible_English/010_2SA_014_001_GOI_En.txt,Joab knew that the king's heart was toward Absalom.,Joab son of Zeruiah knew that the king's heart was toward Absalom.
